-- Install configuration: ""
-- Up-to-date symlink: /home/ishman/panda_ws/install/panda_description/share/panda_description/meshes/visual/link6.dae
-- Up-to-date symlink: /home/ishman/panda_ws/install/panda_description/share/panda_description/meshes/visual/link6.dae:Zone.Identifier
-- Up-to-date symlink: /home/ishman/panda_ws/install/panda_description/share/panda_description/meshes/visual/link7.dae
-- Up-to-date symlink: /home/ishman/panda_ws/install/panda_description/share/panda_description/meshes/visual/link7.dae:Zone.Identifier
-- Up-to-date symlink: /home/ishman/panda_ws/install/panda_description/share/panda_description/urdf/arm.xacro
-- Up-to-date symlink: /home/ishman/panda_ws/install/panda_description/share/panda_description/urdf/gazebo.xacro
-- Up-to-date symlink: /home/ishman/panda_ws/install/panda_description/share/panda_description/urdf/panda.urdf.xacro
-- Up-to-date symlink: /home/ishman/panda_ws/install/panda_description/share/panda_description/urdf/ros2control.xacro
-- Up-to-date symlink: /home/ishman/panda_ws/install/panda_description/share/panda_description/rviz/display.rviz
-- Up-to-date symlink: /home/ishman/panda_ws/install/panda_description/share/panda_description/worlds/empty.world
-- Up-to-date symlink: /home/ishman/panda_ws/install/panda_description/share/panda_description/models/aws_robomaker_residential_CoffeeTable_01/materials/textures/aws_CoffeeTable_01.png
-- Up-to-date symlink: /home/ishman/panda_ws/install/panda_description/share/panda_description/models/aws_robomaker_residential_CoffeeTable_01/materials/textures/aws_CoffeeTable_01.png:Zone.Identifier
-- Up-to-date symlink: /home/ishman/panda_ws/install/panda_description/share/panda_description/models/aws_robomaker_residential_CoffeeTable_01/meshes/aws_CoffeeTable_01_collision.DAE
-- Up-to-date symlink: /home/ishman/panda_ws/install/panda_description/share/panda_description/models/aws_robomaker_residential_CoffeeTable_01/meshes/aws_CoffeeTable_01_collision.DAE:Zone.Identifier
-- Up-to-date symlink: /home/ishman/panda_ws/install/panda_description/share/panda_description/models/aws_robomaker_residential_CoffeeTable_01/meshes/aws_CoffeeTable_01_visual.DAE
-- Up-to-date symlink: /home/ishman/panda_ws/install/panda_description/share/panda_description/models/aws_robomaker_residential_CoffeeTable_01/meshes/aws_CoffeeTable_01_visual.DAE:Zone.Identifier
-- Up-to-date symlink: /home/ishman/panda_ws/install/panda_description/share/panda_description/models/aws_robomaker_residential_CoffeeTable_01/model.config
-- Up-to-date symlink: /home/ishman/panda_ws/install/panda_description/share/panda_description/models/aws_robomaker_residential_CoffeeTable_01/model.config:Zone.Identifier
-- Up-to-date symlink: /home/ishman/panda_ws/install/panda_description/share/panda_description/models/aws_robomaker_residential_CoffeeTable_01/model.sdf
-- Up-to-date symlink: /home/ishman/panda_ws/install/panda_description/share/panda_description/models/aws_robomaker_residential_CoffeeTable_01/model.sdf:Zone.Identifier
-- Up-to-date symlink: /home/ishman/panda_ws/install/panda_description/share/panda_description/models/aws_robomaker_residential_Trash_01/materials/textures/aws_Trash_01.png
-- Up-to-date symlink: /home/ishman/panda_ws/install/panda_description/share/panda_description/models/aws_robomaker_residential_Trash_01/materials/textures/aws_Trash_01.png:Zone.Identifier
-- Up-to-date symlink: /home/ishman/panda_ws/install/panda_description/share/panda_description/models/aws_robomaker_residential_Trash_01/meshes/aws_Trash_01_collision.DAE
-- Up-to-date symlink: /home/ishman/panda_ws/install/panda_description/share/panda_description/models/aws_robomaker_residential_Trash_01/meshes/aws_Trash_01_collision.DAE:Zone.Identifier
-- Up-to-date symlink: /home/ishman/panda_ws/install/panda_description/share/panda_description/models/aws_robomaker_residential_Trash_01/meshes/aws_Trash_01_visual.DAE
-- Up-to-date symlink: /home/ishman/panda_ws/install/panda_description/share/panda_description/models/aws_robomaker_residential_Trash_01/meshes/aws_Trash_01_visual.DAE:Zone.Identifier
-- Up-to-date symlink: /home/ishman/panda_ws/install/panda_description/share/panda_description/models/aws_robomaker_residential_Trash_01/model.config
-- Up-to-date symlink: /home/ishman/panda_ws/install/panda_description/share/panda_description/models/aws_robomaker_residential_Trash_01/model.config:Zone.Identifier
-- Up-to-date symlink: /home/ishman/panda_ws/install/panda_description/share/panda_description/models/aws_robomaker_residential_Trash_01/model.sdf
-- Up-to-date symlink: /home/ishman/panda_ws/install/panda_description/share/panda_description/models/aws_robomaker_residential_Trash_01/model.sdf:Zone.Identifier
-- Up-to-date symlink: /home/ishman/panda_ws/install/panda_description/share/ament_index/resource_index/package_run_dependencies/panda_description
-- Up-to-date symlink: /home/ishman/panda_ws/install/panda_description/share/ament_index/resource_index/parent_prefix_path/panda_description
-- Up-to-date symlink: /home/ishman/panda_ws/install/panda_description/share/panda_description/environment/ament_prefix_path.sh
-- Up-to-date symlink: /home/ishman/panda_ws/install/panda_description/share/panda_description/environment/ament_prefix_path.dsv
-- Up-to-date symlink: /home/ishman/panda_ws/install/panda_description/share/panda_description/environment/path.sh
-- Up-to-date symlink: /home/ishman/panda_ws/install/panda_description/share/panda_description/environment/path.dsv
-- Up-to-date symlink: /home/ishman/panda_ws/install/panda_description/share/panda_description/local_setup.bash
-- Up-to-date symlink: /home/ishman/panda_ws/install/panda_description/share/panda_description/local_setup.sh
-- Up-to-date symlink: /home/ishman/panda_ws/install/panda_description/share/panda_description/local_setup.zsh
-- Up-to-date symlink: /home/ishman/panda_ws/install/panda_description/share/panda_description/local_setup.dsv
-- Symlinking: /home/ishman/panda_ws/install/panda_description/share/panda_description/package.dsv
-- Up-to-date symlink: /home/ishman/panda_ws/install/panda_description/share/ament_index/resource_index/packages/panda_description
-- Up-to-date symlink: /home/ishman/panda_ws/install/panda_description/share/panda_description/cmake/panda_descriptionConfig.cmake
-- Up-to-date symlink: /home/ishman/panda_ws/install/panda_description/share/panda_description/cmake/panda_descriptionConfig-version.cmake
-- Up-to-date symlink: /home/ishman/panda_ws/install/panda_description/share/panda_description/package.xml
